source_record_id,pressure_signal,pressure_verification_status,pressure_type,source_published_date,source_freshness_status,source_freshness_date_basis,source_public_story_eligible,collected_date,freshness_status,freshness_disqualification_reason,primary_eligible,primary_disqualification_reason,affected_groups,location_name,state,pressure_summary,evidence_text,pressure_match_terms,source_title,source_url,primary_source_url,secondary_source_url,source_traceability_role,source_family,source_id
food-line-auto-5d6618c41da8304e,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Austin,TX,,Does chicken fried steak still have a place in a Michelin-starred Austin? There was a time when you could get the deep-fried slab of meat just about anywhere.,,Does chicken fried steak still have a place in a Michelin-starred Austin?,https://www.kut.org/austin/2026-06-18/ausitn-tx-atxplained-chicken-fried-steak-restaurants-food,,,,public_radio,
food-line-auto-cb40a3aeb91e7cfc,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Austin,TX,,Travis County judge OKs funding plan for Austin Convention Center expansion The project will nearly double the amount of rentable space at the center. Completion is set for 2029.,,Travis County judge OKs funding plan for Austin Convention Center expansion,https://www.kut.org/austin/2026-06-18/austin-tx-convention-center-expansion-travis-county-judge-ruling,,,,public_radio,
food-line-auto-70e9599e44d48518,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Austin,TX,,"Austin heat index climbed to 118 degrees on Thursday, tying the all-time record Extreme heat is especially dangerous in the early summer, when people's bodies are not as accustomed to higher temperatures.",,"Austin heat index climbed to 118 degrees on Thursday, tying the all-time record",https://www.kut.org/energy-environment/2026-06-18/austin-tx-weather-heat-index-temperature-record-humidity-summer,,,,public_radio,
food-line-auto-7f2c2477053a561f,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,disaster-affected households,Austin,TX,,"Report heading to Texas leaders cites Camp Mystic emergency planning failures before 2025 flood A new investigative report paints a troubling picture of Camp Mystic's preparedness before last year’s historic July Fourth floods, which killed 25 campers and two counselors. The 115-page report will now be used by the Texas Legislature to guide future policy changes.",,Report heading to Texas leaders cites Camp Mystic emergency planning failures before 2025 flood,https://www.kut.org/politics/2026-06-18/report-heading-to-texas-leaders-cites-camp-mystic-emergency-planning-failures-before-2025-flood,,,,public_radio,
food-line-auto-c531de22a923a8d8,false,demoted_context,demand strain,2025-10-29,stale_outside_daily_window,page_metadata,true,,stale_outside_daily_window,"page_metadata date 2025-10-29 is 230 days before edition 2026-06-16, outside the 3-day window",false,"page_metadata date 2025-10-29 is 230 days before edition 2026-06-16, outside the 3-day window",,"East Texas, TX",TX,,"The government shutdown is now in its 4th week and food banks across Texas are working hard to keep up with rising demand. Michael Close, Chief Operating Officer at Swan Food Pantry, has seen a 17% increase the past three weeks in people asking for food assistance. The government shutdown is now in its 4th week and food banks across Texas are working hard to keep up with rising demand. Skip to content Advertise With Us Teacher Tribute Health Update Aging Untold Local Watch Live News Video Weather Weather Extra Sports Community We the People Contests Reception Issues About Us KLTV.com - Channel 7 News, Weather, Sports for East Texas - KLTV.com - Tyler, Longview, Jacksonville | ETX News Watch East Texas Now Watch Live/Watch Newscasts Big Red Box See it, Snap it, Send it Election Results News Heroes Flight Politics Military National Crime State A Better East Texas East Texas Ag News East",rising demand,The government shutdown is now in its 4th week and food banks across Texas are working hard to keep up with rising demand.,https://www.kltv.com/2025/10/29/food-pantries-struggle-keep-up-with-rising-demand-due-government-shutdown-snap-benefits-delays,,,,local_news,
food-line-auto-248ec32e126af0d5,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Idaho,ID,,"Why one Idaho doctor is speaking out on women's healthcare From patient care to public advocacy, one Idaho physician is making an impact far beyond the exam room.",,Why one Idaho doctor is speaking out on women's healthcare,https://www.boisestatepublicradio.org/show/idaho-matters/2026-06-18/idaho-doctor-womens-healthcare,,,,public_radio,
food-line-auto-beaf403be5f402aa,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Idaho,ID,,"What's at stake in the birthright Citizen case? An expert explains A policy expert breaks down the Supreme Court case over birthright citizenship, explaining how a single sentence in the 14th Amendment has fueled a national debate over who gets to be a U.S. citizen.",,What's at stake in the birthright Citizen case? An expert explains,https://www.boisestatepublicradio.org/show/idaho-matters/2026-06-18/birthright-citizen-case-expert-explains,,,,public_radio,
food-line-auto-e3c1516734b5d187,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Idaho,ID,,"A new, safer way to check for prostate cancer is now available locally A new high-resolution MRI is offering a safer way to detect prostate cancer by helping doctors avoid risky biopsies that can lead to complications.",,"A new, safer way to check for prostate cancer is now available locally",https://www.boisestatepublicradio.org/show/idaho-matters/2026-06-18/prostate-cancer-mri,,,,public_radio,
food-line-auto-f75cce4e0c246764,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Idaho,ID,,New trail connection coming to Boise's Table Rock Reserve Boise hikers will soon have a new way to reach Table Rock as crews build a trail connector through the foothills.,,New trail connection coming to Boise's Table Rock Reserve,https://www.boisestatepublicradio.org/show/idaho-matters/2026-06-18/trail-connection-boises-table-rock-reserve,,,,public_radio,
food-line-auto-d142d52070454be2,false,demoted_context,context only,2026-06-17,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-17 is after edition 2026-06-16,false,published_at date 2026-06-17 is after edition 2026-06-16,,Idaho,ID,,"Idaho Matters Doctor Roundtable: June 17, 2026 A new study suggests updated COVID vaccines may do more than prevent severe illness, they could also help protect against heart attacks, strokes and hospitalizations.",,"Idaho Matters Doctor Roundtable: June 17, 2026",https://www.boisestatepublicradio.org/show/idaho-matters/2026-06-17/doctor-roundtable-covid,,,,public_radio,
food-line-auto-59e5a18bb45b845c,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,San Diego County,CA,,"How to celebrate Juneteenth in San Diego County Juneteenth began as a celebration of Black people’s liberation after the Civil War and now serves as a day for community reflection, education and celebration.",,How to celebrate Juneteenth in San Diego County,https://www.kpbs.org/news/arts-culture/2026/06/18/how-to-celebrate-juneteenth-in-san-diego-county,,,,public_radio,
food-line-auto-d5142fba11e381b9,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,San Diego County,CA,,Who faces the most heat stress and why? A new tool shows heat risks in San Diego Researchers “democratize data” with a new San Diego Heat Risk Explorer map of every neighborhood in the county.,,Who faces the most heat stress and why? A new tool shows heat risks in San Diego,https://www.kpbs.org/news/environment/2026/06/18/who-faces-the-most-heat-stress-and-why-a-new-tool-shows-heat-risks-in-san-diego,,,,public_radio,
food-line-auto-6c8d65c726344ebb,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,San Diego County,CA,,"Top 10 weekend arts picks in San Diego: Experimental sound, ocean poetry and Black storytelling This weekend in the arts in San Diego: Juneteenth storytelling, art and music; Cat Gunn at ICA Central; a ""Print As Protest"" discussion; summer jazz; ""The Rise and Fall of Little Voice""; a lagoon art walk; ocean poetry and more.",,"Top 10 weekend arts picks in San Diego: Experimental sound, ocean poetry and Black storytelling",https://www.kpbs.org/news/arts-culture/2026/06/18/top-10-weekend-arts-picks-in-san-diego-experimental-sound-ocean-poetry-and-black-storytelling,,,,public_radio,
food-line-auto-fe30da601a335b60,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,San Diego County,CA,,Legoland California opens new soccer experience for the World Cup Can't get to Los Angeles Stadium in Inglewood? You can visit a Lego version of it in Carlsbad — along with Lego players and a Lego replica of the FIFA World Cup trophy.,,Legoland California opens new soccer experience for the World Cup,https://www.kpbs.org/news/arts-culture/2026/06/18/legoland-california-opens-new-soccer-experience-for-the-world-cup,,,,public_radio,
food-line-auto-17a596cb1716cdf6,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,url_path_only,false,,stale_outside_daily_window,url_path date 2026-06-18 is after edition 2026-06-16,false,url_path date 2026-06-18 is after edition 2026-06-16,,San Diego County,CA,,"Can a woven toilet make a place feel like home? India Thompson's ""Looks Like Home"" transforms everyday household objects into woven sculptures, using traditional basketry to explore life as a renter, attachment and what it means to feel at home.",,Can a woven toilet make a place feel like home?,https://www.kpbs.org/news/arts-culture/2026/06/18/india-thompson-woven-toilet-microwave-and-fridge-explore-humor-home-and-attachment,,,,public_radio,
food-line-auto-1fd61105b6f25026,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Palm Beach County,FL,,"West Palm Beach warns property tax reform could cost city $30 million and cut key services West Palm Beach warns a Florida property tax reform on the November ballot could cost the city $30M and cut parks, libraries and sanitation.",,West Palm Beach warns property tax reform could cost city $30 million and cut key services,https://www.wptv.com/money/real-estate-news/west-palm-beach-warns-property-tax-reform-could-cost-city-30-million-and-cut-key-services,,,,local_news,
food-line-auto-91d2e05cb76de082,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,low-income households,Palm Beach County,FL,,Wellington's new aquatic center draws families seeking relief from South Florida summer heat The Village of Wellington's new aquatic center is giving South Florida families an affordable way to cool off as feels-like temperatures climb into the triple digits this week.,,Wellington's new aquatic center draws families seeking relief from South Florida summer heat,https://www.wptv.com/news/local-news/our-community/wellington-royal-palm-beach-westlake/wellingtons-new-aquatic-center-draws-families-seeking-relief-from-south-florida-summer-heat,,,,local_news,
food-line-auto-46854d99f1092228,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Palm Beach County,FL,,"South Bay woman pushes to secure funding for light-up address signs to help community, first responders Fuce spoke with morning anchor Ashley Glass about her desire to spread awareness about light-up address signs. The one she owns is solar-powered.",,"South Bay woman pushes to secure funding for light-up address signs to help community, first responders",https://www.wptv.com/community/lets-hear-it/south-bay-woman-pushes-to-secure-funding-for-light-up-address-signs-to-help-community-first-responders,,,,local_news,
food-line-auto-01273a54de5fc3f1,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Palm Beach County,FL,,"Judge rules Martin County teacher suspended over Charlie Kirk comments get job back A judge ruled that a Martin County teacher who was suspended over social media comments about Charlie Kirk should have his suspension rescinded, and receive back pay.",,Judge rules Martin County teacher suspended over Charlie Kirk comments get job back,https://www.wptv.com/news/treasure-coast/region-martin-county/judge-orders-martin-county-teacher-suspended-over-charlie-kirk-comments-get-job-back,,,,local_news,
food-line-auto-23edb7cd0a130c8c,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Palm Beach County,FL,,Martin County Fire Rescue battles roof fire at Jensen Beach Dillard's store Multiple Martin County Fire Rescue crews battle roof fire at Jensen Beach Dillard's store. Authorities are asking residents to avoid the area.,,Martin County Fire Rescue battles roof fire at Jensen Beach Dillard's store,https://www.wptv.com/news/treasure-coast/region-martin-county/martin-county-fire-rescue-battles-roof-fire-at-jensen-beach-dillards-store,,,,local_news,
food-line-auto-7849de57e2786796,false,demoted_context,service reduction,2025-09-14,stale_outside_daily_window,page_metadata,false,2026-06-16,stale_outside_daily_window,"page_metadata date 2025-09-14 is 275 days before edition 2026-06-16, outside the 3-day window",false,"page_metadata date 2025-09-14 is 275 days before edition 2026-06-16, outside the 3-day window",,Northeastern New York,NY,,"The Regional Food Bank expects to lose more than 7 million pounds of food this year as a result of federal cuts | WAMC As the Regional Food Bank of Northeastern New York prepares to face additional federal cuts, leaders say they are working to diversify its sources of donations. COO Nick Pisani says the food bank will receive roughly 7 million less pounds of food this year than it did in 2024. WAMC’s Samantha Simmons spoke with him earlier this week about how federal cuts are impacting operations. The Regional Food Bank expects to lose more than 7 million pounds of food this year as a result of federal cuts | WAMC Skip to main content Search Query Show Search News All Things Considered Arts & Culture Commentary & Opinion Listener Comment Line Midday Magazine Morning Edition New England News New York News Northeast Report Weather Corrections All Things Considered Arts & Culture",federal cuts,The Regional Food Bank expects to lose more than 7 million pounds of food this year as a result of federal cuts | WAMC,https://www.wamc.org/news/2025-09-14/the-regional-food-bank-expects-to-lose-more-than-7-million-pounds-of-food-this-year-as-a-result-of-federal-cuts,,,,public_radio,
food-line-auto-d746124a0786b5f9,false,demoted_context,demand strain,2025-10-28,stale_outside_daily_window,page_metadata,true,,stale_outside_daily_window,"page_metadata date 2025-10-28 is 231 days before edition 2026-06-16, outside the 3-day window",false,"page_metadata date 2025-10-28 is 231 days before edition 2026-06-16, outside the 3-day window",,"Toledo, OH",OH,,Local food pantries are preparing for increased demand as SNAP benefits face shutdown pause The need for food assistance was already growing before the shutdown according to local food assistance organizations. Local food pantries are preparing for increased demand as SNAP benefits face shutdown pause Skip to content Contests Community Calendar Mr. Food The Nine DWC On The Lot Liberty Tax Tips Ohio Lottery Club 13 Deals Aging Untold Extra Local News Watch Live First Alert Weather Traffic Map I-TEAM We the People: Celebrating 250 Years Links We Mentioned Home Community Calendar Local News Taking Action: Opioid Addiction Action News Now Crime I-TEAM On Your Side Watching Your Wallet National Special Reports Politics Business News We the People: Celebrating 250 Years Watch Live First Alert Weather 13 First Alert Radar Closings & Delays Live Action Cams 13abc First Alert Weather App Weather,"increased demand, preparing for increased demand, snap benefits face shutdown pause, benefits face shutdown pause, shutdown pause",Local food pantries are preparing for increased demand as SNAP benefits face shutdown pause,https://www.13abc.com/2025/10/28/local-food-pantries-are-preparing-increased-demand-snap-benefits-face-shutdown-pause,,,,local_news,
food-line-auto-081ff22d2ff96c5c,false,demoted_context,demand strain,2026-06-08,stale_outside_daily_window,page_metadata,false,2026-06-16,stale_outside_daily_window,"page_metadata date 2026-06-08 is 8 days before edition 2026-06-16, outside the 3-day window",false,"page_metadata date 2026-06-08 is 8 days before edition 2026-06-16, outside the 3-day window",SNAP households,Western Massachusetts,MA,,"Food banks continue to see increased need as SNAP requirements shift | New England Public Media another aspect of that Big Beautiful Bill is shifting the cost of SNAP onto states, if they can't keep their error rate below 6%. Massachusetts is hovering around 14%. And an under-resourced DTA is more likely to make mistakes. Food banks continue to see increased need as SNAP requirements shift | New England Public Media Skip to main content Search Query Show Search Sign In Watch Live News The Fabulous 413 The Rundown with Carrie Saldo All Regional News Commentary Western Massachusetts Massachusetts Connecticut Vermont New Hampshire Corrections The Fabulous 413 The Rundown with Carrie Saldo All Regional News Commentary Western Massachusetts Massachusetts Connecticut Vermont New Hampshire Corrections Schedules TV Schedule Radio Schedule TV Schedule Radio Schedule Listen Schedules Where to","increased need, snap requirements shift",Food banks continue to see increased need as SNAP requirements shift | New England Public Media,https://www.nepm.org/regional-news/2026-06-08/food-banks-continue-to-see-increased-need-as-snap-requirements-shift,,,,public_radio,
food-line-auto-cdf048aad7e13c65,false,demoted_context,demand strain,2026-06-08,stale_outside_daily_window,page_metadata,false,2026-06-16,stale_outside_daily_window,"page_metadata date 2026-06-08 is 8 days before edition 2026-06-16, outside the 3-day window",false,"page_metadata date 2026-06-08 is 8 days before edition 2026-06-16, outside the 3-day window","SNAP households, rural residents",Maine,ME,,"Giant freezer may help get more food to Aroostook County pantries Cuts in federal food assistance are squeezing food pantries in Maine’s northernmost county, where nearly 1 in 5 people rely on SNAP benefits. Giant freezer may help get more food to Aroostook County pantries About Us Topics Audio & Video Business Courts & Public Safety Education Environment & Energy Government Health Housing Religion & Society Rural News Monitor Local 2026 Voter Guide Guides to Government Projects Newsletters Get Involved Contact the newsroom Maine Monitor Events Help us report Memberships Shop Sponsorships Careers Donate About Us Topics Audio & Video Business Courts & Public Safety Education Environment & Energy Government Health Housing Religion & Society Rural News Monitor Local 2026 Voter Guide Projects Guides to Government Newsletters Get Involved Contact the newsroom Maine Monitor Events Help us","more food to, get more food to",Giant freezer may help get more food to Aroostook County pantries,https://themainemonitor.org/giant-freezer-help-aroostook-food-pantries,,,,nonprofit_news,
food-line-auto-db33a1f8d7b2e003,false,demoted_context,context only,2026-06-18,stale_outside_daily_window,published_at,false,2026-06-16,stale_outside_daily_window,published_at date 2026-06-18 is after edition 2026-06-16,false,published_at date 2026-06-18 is after edition 2026-06-16,,Palm Beach County,FL,,"Property-tax calculator sharpens debate over savings, local budget cuts Floridians weighing a major property-tax amendment on the November ballot now have a new way to estimate what it could mean for their own household budgets.",,"Property-tax calculator sharpens debate over savings, local budget cuts",https://www.wptv.com/money/real-estate-news/property-tax-calculator-sharpens-debate-over-savings-local-budget-cuts,,,,local_news,
